,0,1
m83>>midnight city,-13.56999,45.8351
daft punk>>get lucky - radio edit,-15.593443,-4.922429
imagine dragons>>radioactive,5.2082286,8.914917
of monsters and men>>little talks,-20.484346,27.539454
avicii>>wake me up,14.230417,-10.3418255
lorde>>royals,19.586096,43.55422
the lumineers>>ho hey,-42.197006,1.6389652
macklemore & ryan lewis>>cant hold us - feat. ray dalton,8.630603,-19.03517
bastille>>pompeii,5.2271633,9.039246
robin thicke>>blurred lines,8.223611,-20.339417
foster the people>>pumped up kicks,11.395427,46.372433
capital cities>>safe and sound,19.888927,43.83415
fun.>>we are young feat. janelle monáe - feat. janelle monae,48.291523,-10.943736
nirvana>>smells like teen spirit,42.117805,45.042004
gotye>>somebody that i used to know,15.881106,14.427752
arctic monkeys>>do i wanna know,-41.022736,-51.254242
passenger>>let her go,-11.030814,8.194659
adele>>rolling in the deep,14.232775,14.244826
kings of leon>>sex on fire,39.444775,46.28787
the temper trap>>sweet disposition,34.243263,22.715633
mgmt>>kids,-31.822472,23.407028
clean bandit>>rather be feat. jess glynne,5.936479,9.2170925
macklemore & ryan lewis>>thrift shop - feat. wanz,13.259084,-6.284178
onerepublic>>counting stars,4.5099945,-13.159803
hozier>>take me to church,10.931616,4.1581507
the killers>>mr. brightside,-23.913872,58.01281
daft punk>>get lucky,-15.583834,-4.937387
mark ronson>>uptown funk,15.045197,-6.2586207
rihanna>>we found love,14.29791,-12.55736
bruno mars>>locked out of heaven,-8.285541,9.264297
awolnation>>sail,20.055956,43.958073
disclosure>>latch,-13.548716,8.087341
imagine dragons>>its time,-31.557682,23.214487
radiohead>>creep,-32.13951,-57.686222
the black keys>>lonely boy,-20.311613,27.867905
mumford & sons>>i will wait,-14.608164,4.227939
imagine dragons>>demons,-11.749025,-11.294762
blur>>song 2,42.28749,44.817966
guns n roses>>sweet child o mine,60.83678,28.616325
coldplay>>viva la vida,61.450085,-12.313116
the white stripes>>seven nation army,39.34738,46.268307
oasis>>wonderwall,55.38324,-36.470535
mumford & sons>>little lion man,-20.721502,27.43479
sia>>chandelier,4.8927693,-13.269256
coldplay>>fix you,-13.182199,-11.543444
journey>>dont stop believin,-52.75452,-39.27329
justin timberlake>>mirrors,-2.9596229,9.867893
franz ferdinand>>take me out,60.138363,34.038536
carly rae jepsen>>call me maybe,6.8827972,-17.200436
katy perry>>roar,8.426169,8.650971
imagine dragons>>on top of the world,2.8096685,10.469469
vance joy>>riptide,6.326187,8.91543
drake>>hold on  were going home,-8.230646,-0.56951475
the naked and famous>>young blood,32.654766,-36.933674
calvin harris>>summer,11.63078,4.4274225
kings of leon>>use somebody,61.870674,-12.585661
two door cinema club>>what you know,48.125904,-11.041512
bon iver>>skinny love,31.02797,37.798855
florence + the machine>>dog days are over,-32.93591,-25.103918
coldplay>>the scientist,66.27323,-1.4498339
pitbull>>timber,13.554775,-6.0982847
katy perry>>dark horse,2.1298895,-11.930025
mumford & sons>>the cave,48.79933,9.314991
calvin harris>>sweet nothing,12.25805,4.566782
mgmt>>time to pretend,48.312115,-4.598509
swedish house mafia>>dont you worry child radio edit [feat. john martin],1.0397666,-11.490107
edward sharpe & the magnetic zeros>>home,-42.33819,1.7900871
maroon 5>>moves like jagger - studio recording from the voice performance,-3.8933365,10.308736
the xx>>intro,-34.0735,22.225002
daft punk>>lose yourself to dance,-9.566589,11.131788
pharrell williams>>happy,-15.671657,-2.9708178
fun.>>some nights,15.912162,14.439864
foo fighters>>everlong,-53.459328,-34.188854
daft punk>>instant crush,-38.18874,9.566121
mgmt>>electric feel,-34.144802,-22.227587
muse>>uprising,61.866558,-12.613975
pharrell williams>>happy - from despicable me 2,-15.698705,-2.9626846
ellie goulding>>burn,8.665363,-19.57439
coldplay>>yellow,46.728115,-39.217224
ed sheeran>>thinking out loud,12.031185,0.6331476
john legend>>all of me,15.226309,-25.247585
nirvana>>come as you are,-31.721155,-57.90244
calvin harris>>feel so close - radio edit,-13.016899,-9.357658
sam smith>>stay with me,11.034118,4.537941
survivor>>eye of the tiger,-54.432114,-36.62335
the xx>>crystalised,-16.225574,-33.875298
rihanna>>diamonds,0.9815561,-11.796133
passion pit>>take a walk,34.08284,22.64677
coldplay>>paradise,3.7781053,10.883713
outkast>>hey ya! - radio mix / club mix,-13.277156,-0.5586002
avicii>>hey brother,-15.715909,-2.7047985
m.i.a.>>paper planes,1.1200286,37.79165
meghan trainor>>all about that bass,15.190361,-25.267212
calvin harris>>i need your love,-15.506437,5.4165206
r.e.m.>>losing my religion,-40.858368,55.585285
lorde>>team,31.107882,5.686198
lmfao>>party rock anthem,3.3289487,12.167985
avicii>>levels - radio edit,-8.2382965,9.062039
milky chance>>stolen dance,11.061813,4.3783607
coldplay>>a sky full of stars,15.362052,-25.27585
coldplay>>magic,-10.046637,10.612884
florence + the machine>>shake it out,30.549852,38.503517
phoenix>>lisztomania,-20.267475,27.90526
the black keys>>howlin for you,-39.65033,5.1490355
the killers>>somebody told me,35.823948,37.656918
phoenix>>1901,29.95263,-54.143692
katy perry>>firework,-13.465242,-10.226609
band of horses>>the funeral,48.116642,9.01632
iggy azalea>>fancy,-12.935708,-8.119985
radiohead>>karma police,-52.7677,36.04908
the cure>>friday im in love,-61.933678,-15.316218
coldplay>>clocks,-20.69421,-41.28769
rihanna>>only girl in the world,3.1367311,12.286282
the neighbourhood>>sweater weather,33.948524,22.67297
chvrches>>the mother we share,35.463737,0.004521114
mr. probz>>waves - robin schulz radio edit,14.259715,-10.466563
arctic monkeys>>r u mine,15.192455,54.593884
